town_code,town,lat,long,district,district_lat,district_long,region,regional_city,region_lat,region_long,population_density,area,population,distance_town_district,drive_town_district,distance_town_region,drive_town_region
505552,Šišov,48.6569743,18.1795334,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,52.8,"9,631,243",509,14.3,21,42.3,51
505471,Slatina nad Bebravou,48.8368577,18.2638167,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,38.39,"11,527,494",443,18.6,25,30.1,35
505480,Slatinka nad Bebravou,48.844245,18.2416841,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,20.08,"9,537,110",192,16.9,23,28.4,33
505579,Timoradza,48.8110952,18.2362612,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,49.1,"10,489,379",515,12.2,16,30.3,35
505595,Trebichava,48.8219355,18.3013058,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,3.48,"11,765,172",41,22.4,31,33.9,41
505625,Uhrovec,48.7434585,18.3375919,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,65.41,"22,948,443",1501,7.6,13,46.5,44
505633,Uhrovské Podhradie,48.7633213,18.3798618,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,2.8,"12,522,114",35,13.7,22,52.6,53
505692,Veľké Chlievany,48.7037841,18.2245087,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,97.84,"5,146,123",504,4.7,8,31.4,36
545651,Veľké Držkovce,48.7350507,18.1738234,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,51.57,"12,789,521",660,10.2,15,27.1,30
505684,Veľké Hoste,48.6800415,18.1573767,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,68.57,"8,254,531",566,13.7,22,34.3,44
505765,Vysočany,48.6795607,18.318783,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,25.34,"4,320,831",110,10,13,39.4,40
505811,Žitná - Radiša,48.7667926,18.3464788,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,24.99,"17,769,435",444,10.7,17,49.6,49
505790,Zlatníky,48.7111473,18.1225418,Bánovce nad Bebravou,48.72413765,18.26397423,Trenčiansky kraj,Trenčín,48.8923583,18.0393715,13.6,"50,439,750",686,14.7,23,30,38
508454,Badín,48.6650207,19.1269549,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,59.22,"34,389,985",2037,11.3,15,10.4,13
508471,Baláže,48.8140003,19.1956082,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,15.44,"14,216,159",220,15.2,24,14.2,22
508438,Banská Bystrica,48.73709685,19.14672413,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,753.57,"103,376,386",77902,0,0,1.9,5
508675,Brusno,48.7950435,19.3798389,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,50.04,"43,511,159",2178,20.1,21,19.3,20
508519,Čerín,48.6719545,19.24977399,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,38.59,"11,531,992",445,16.9,24,16,22
508543,Dolná Mičiná,48.67144715,19.21330722,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,46.23,"9,463,024",438,11.5,17,10.7,15
508551,Dolný Harmanec,48.8112242,19.0515462,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,6.04,"44,292,695",268,13.7,17,14.8,20
508560,Donovaly,48.8790358,19.2239467,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,14.71,"17,503,411",258,26.1,29,27.2,32
508586,Dúbravica,48.67767645,19.29156136,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,49.55,"8,506,829",422,19.6,29,18.8,27
508594,Harmanec,48.7843674,19.06267721,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,108.16,"7,757,261",839,11.6,15,12.7,17
508616,Hiadeľ,48.8082096,19.3156941,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,31.53,"16,557,000",522,20.1,24,19.3,23
508632,Horná Mičiná,48.6987534,19.214015,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,40.41,"15,691,088",634,8.2,13,7.3,11
508641,Horné Pršany,48.70008525,19.06989942,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,112.72,"3,526,357",398,9.6,21,8.7,19
508659,Hrochoť,48.6552585,19.3121335,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,42.24,"34,742,883",1468,20.4,29,19.5,27
580236,Hronsek,48.6548356,19.17414847,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,90.63,"7,304,072",662,13.4,19,12.5,16
508713,Kordíky,48.77436665,19.02628352,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,48.13,"9,972,745",480,12.9,20,13,21
508721,Králiky,48.7344918,19.03155997,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,415.27,"1,649,516",685,12.1,20,12.2,22
